Description, Group, Action
You inherit £200, pot luck, PayOut 200 ;
You have won 2nd prize in a beauty contest. Collect £50, pot luck, PayOut 50 ;
You are up the creek with no paddle - go back to the Old Creek, pot luck, Move absolute 2 ;
Student loan refund. Collect £20, pot luck, PayOut 20 ;
Bank error in your favour. Collect £200, pot luck,  PayOut 200 ;
Pay bill for your text books of £100, pot luck,  PayIn 100 ;
Mega late night taxi bill. Pay £50, pot luck, PayIn 50 ;
Advance to Go, pot luck, Move absolute 1 ;
From sale of Bitcoin you get £50, pot luck, PayOut 50 ;
Bitcoin assets fall - pay off Bitcoin short fall, pot luck, PayIn 50 ;
Pay a £10 fine, pot luck, Fine 10 ;
Pay insurance fee of £50, pot luck, Fine 50 ;
Savings bond matures. Collect £100, pot luck, PayOut 100 ;
Go to Jail. Do not pass Go. Do not collect £200, pot luck, GoToJail ;
Received interest on shares of £25, pot luck, PayOut 25 ;
It's your birthday. Collect £10 from each player, pot luck, Collect 10 ;
Get out of Jail free, pot luck, GetOutOfJail ;
Bank pays you dividend of £50, opportunity knocks, PayOut 50 ;
You have won a link sync battle. Collect £100, opportunity knocks, PayOut 100 ;
Advance to Turing Heights, opportunity knocks, Move absolute 40 ;
Advance to Han Xin Gardens. If you pass Go collect £200, opportunity knocks, Move absolute 25 ;
Fined £15 for speeding, opportunity knocks, Fine 15 ;
Pay university fees of £150, opportunity knocks, PayIn 150 ;
Take a trip to Hove Station. If you pass Go collect £200, opportunity knocks, Move absolute 16 ;
Loan matures. Collect £150, opportunity knocks, PayOut 150 ;
You are assessed for repairs. Pay £40 per house and £115 per hotel, opportunity knocks, PayPerUpgrade 40 115 ;
Advance to Go, opportunity knocks, Move absolute 1 ;
You are assessed for repairs. Pay £25 per house and £100 per hotel, opportunity knocks, PayPerUpgrade 25 100 ;
Go back 3 spaces, opportunity knocks, Move relative -3 ;
Advance to Skywalker Drive. If you pass Go collect £200, opportunity knocks, Move absolute 12 ;
Go to Jail. Do not pass Go. Do not collect £200, opportunity knocks, GoToJail ;
Drunk in charge of a hoverboard. Fine £30, opportunity knocks, Fine 30 ;
Get out of Jail free, opportunity knocks, GetOutOfJail ;